Total Steps	Size of State Space	Effective Info	Size of TPM [GB]
100000	512	5.76015	0.000262144
200000	512	5.74375	0.000262144
300000	512	5.73857	0.000262144
400000	512	5.7361	0.000262144
500000	512	5.73449	0.000262144
600000	512	5.73344	0.000262144
700000	512	5.73281	0.000262144
800000	512	5.73217	0.000262144
900000	512	5.73165	0.000262144
1000000	512	5.73128	0.000262144
1100000	512	5.73088	0.000262144
1200000	512	5.7306	0.000262144
1300000	512	5.73037	0.000262144
1400000	512	5.73019	0.000262144
1500000	512	5.73006	0.000262144
1600000	512	5.72997	0.000262144
1700000	512	5.72988	0.000262144
1800000	512	5.72976	0.000262144
1900000	512	5.72966	0.000262144
2000000	512	5.72952	0.000262144
2100000	512	5.72947	0.000262144
2200000	512	5.72938	0.000262144
2300000	512	5.7293	0.000262144
2400000	512	5.72928	0.000262144
2500000	512	5.72919	0.000262144
2600000	512	5.72911	0.000262144
2700000	512	5.72908	0.000262144
2800000	512	5.72908	0.000262144
2900000	512	5.72905	0.000262144
3000000	512	5.72902	0.000262144
3100000	512	5.72897	0.000262144
3200000	512	5.72894	0.000262144
3300000	512	5.72892	0.000262144
3400000	512	5.72891	0.000262144
3500000	512	5.72889	0.000262144
3600000	512	5.72884	0.000262144
3700000	512	5.72882	0.000262144
3800000	512	5.7288	0.000262144
3900000	512	5.72876	0.000262144
4000000	512	5.72876	0.000262144
4100000	512	5.72877	0.000262144
4200000	512	5.72875	0.000262144
4300000	512	5.72872	0.000262144
4400000	512	5.72868	0.000262144
4500000	512	5.72864	0.000262144
4600000	512	5.72865	0.000262144
4700000	512	5.72862	0.000262144
4800000	512	5.7286	0.000262144
4900000	512	5.72856	0.000262144
5000000	512	5.72854	0.000262144
5100000	512	5.72854	0.000262144
5200000	512	5.72853	0.000262144
5300000	512	5.72851	0.000262144
5400000	512	5.7285	0.000262144
5500000	512	5.72849	0.000262144
5600000	512	5.72848	0.000262144
5700000	512	5.72846	0.000262144
5800000	512	5.72843	0.000262144
5900000	512	5.72843	0.000262144
6000000	512	5.72843	0.000262144
6100000	512	5.72842	0.000262144
6200000	512	5.72841	0.000262144
6300000	512	5.72842	0.000262144
6400000	512	5.72841	0.000262144
6500000	512	5.72841	0.000262144
6600000	512	5.72838	0.000262144
6700000	512	5.72838	0.000262144
6800000	512	5.72837	0.000262144
6900000	512	5.72839	0.000262144
7000000	512	5.7284	0.000262144
7100000	512	5.72839	0.000262144
7200000	512	5.72838	0.000262144
7300000	512	5.72839	0.000262144
7400000	512	5.72839	0.000262144
7500000	512	5.72839	0.000262144
7600000	512	5.72836	0.000262144
7700000	512	5.72835	0.000262144
7800000	512	5.72835	0.000262144
7900000	512	5.72834	0.000262144
8000000	512	5.72835	0.000262144
8100000	512	5.72833	0.000262144
8200000	512	5.72833	0.000262144
8300000	512	5.72834	0.000262144
8400000	512	5.72834	0.000262144
8500000	512	5.72834	0.000262144
8600000	512	5.72833	0.000262144
8700000	512	5.72833	0.000262144
8800000	512	5.72832	0.000262144
8900000	512	5.72833	0.000262144
9000000	512	5.72833	0.000262144
9100000	512	5.72833	0.000262144
9200000	512	5.72832	0.000262144
9300000	512	5.72832	0.000262144
9400000	512	5.72833	0.000262144
9500000	512	5.72833	0.000262144
9600000	512	5.72833	0.000262144
9700000	512	5.72832	0.000262144
9800000	512	5.72833	0.000262144
9900000	512	5.72831	0.000262144
10000000	512	5.72832	0.000262144
